saldo_corrente,duracao_emp_meses,historico_credito,quantia_real,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,qtd_emprestimos_existentes,dependentes,telefone,motivo_educacao,motivo_moveis/eletrodomesticos,motivo_negocios,motivo_renovacao,outro_credito_loja,outro_credito_nenhum,residencia_outros,residencia_propria,emprego_gerencial,emprego_nao-qualificado,emprego_qualificado
-1,2.0,5,24728.71,-1,3,2.0,2.0,39,1,2,1,0,0,0,0,0,1,0,1,0,1,0
1,2.0,1,17335.8,1,1,2.0,4.0,75,2,1,2,0,0,0,0,0,1,1,0,1,0,0
1,4.0,3,3359.73,2,3,4.0,2.0,32,1,1,1,0,1,0,0,0,1,0,1,0,1,0
2,2.0,1,15050.56,1,2,2.0,4.0,24,2,1,2,1,0,0,0,0,1,1,0,0,0,1
1,3.0,3,3152.65,2,5,3.0,2.0,43,1,1,2,0,0,0,0,0,1,0,1,0,0,1
-1,4.0,3,10257.35,-1,3,4.0,2.0,38,1,1,1,0,0,1,0,0,0,0,1,0,0,1
-1,3.0,3,2885.35,1,3,3.0,2.0,27,2,1,2,0,0,0,0,0,1,0,1,0,0,1
1,3.0,3,1734.91,1,2,3.0,4.0,41,1,2,2,0,0,0,0,0,1,0,1,0,1,0
1,2.0,3,7107.26,1,5,2.0,2.0,41,1,2,1,0,1,0,0,0,0,0,1,0,0,1
1,2.0,3,3307.29,-1,5,2.0,4.0,49,1,1,2,0,1,0,0,0,1,0,1,0,1,0
1,4.0,3,16641.29,-1,5,4.0,4.0,31,1,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,1,7033.91,1,3,4.0,2.0,35,2,1,1,0,1,0,0,0,1,0,1,0,1,0
-1,1.0,1,19906.65,-1,5,1.0,4.0,63,2,1,1,0,0,0,0,0,1,0,1,0,0,1
2,4.0,3,2190.89,2,2,4.0,2.0,23,1,1,1,0,0,0,0,0,0,0,1,0,1,0
3,2.0,3,8907.68,-1,5,2.0,3.0,37,1,1,1,0,1,0,0,0,1,0,1,1,0,0
2,1.0,3,7238.32,-1,5,1.0,2.0,25,1,1,2,0,1,0,0,0,0,0,1,0,0,1
-1,4.0,1,3260.14,-1,5,4.0,4.0,41,2,1,1,1,0,0,0,0,1,0,0,0,1,0
1,2.0,4,6093.06,2,4,2.0,3.0,32,1,1,1,0,0,0,0,0,0,0,1,0,0,1
1,4.0,3,10390.98,1,2,4.0,3.0,34,1,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,3.0,3,1134.76,1,1,3.0,4.0,22,1,1,1,0,1,0,0,0,1,0,0,0,0,1
2,4.0,4,1134.76,4,2,4.0,2.0,24,1,2,1,1,0,0,0,0,0,0,0,0,0,1
1,4.0,3,3144.81,-1,3,4.0,4.0,23,1,1,2,1,0,0,0,0,0,0,0,0,0,1
-1,2.0,3,7096.8,1,2,2.0,3.0,27,2,1,1,0,1,0,0,0,0,0,1,0,1,0
2,1.0,1,8187.02,1,2,1.0,3.0,49,2,2,1,0,0,0,0,0,0,0,1,0,1,0
1,4.0,1,37158.6,-1,4,4.0,4.0,30,2,1,2,0,1,0,0,0,1,0,1,1,0,0
-1,4.0,1,20585.43,1,3,4.0,2.0,25,2,1,2,0,0,0,0,1,0,0,1,0,0,1
2,3.0,2,3962.45,4,3,3.0,3.0,61,2,1,1,0,0,0,1,1,0,0,1,0,0,1
-1,2.0,2,7243.55,1,3,2.0,2.0,26,2,1,2,0,0,1,0,0,1,0,1,0,0,1
1,2.0,1,3118.62,1,1,2.0,4.0,55,3,2,1,0,0,0,1,0,1,1,0,0,0,0
1,4.0,3,1941.94,2,1,4.0,3.0,22,1,1,1,0,1,0,0,0,1,0,1,0,0,1
1,4.0,3,3163.16,1,2,4.0,4.0,24,1,1,1,0,0,0,0,0,1,0,0,0,0,1
-1,2.0,1,23213.94,-1,4,2.0,1.0,35,2,1,2,0,0,0,0,0,1,1,0,0,0,1
2,3.0,1,9408.24,1,1,3.0,3.0,40,3,2,2,0,0,1,0,0,1,0,1,0,0,0
-1,2.0,2,22571.91,4,3,2.0,2.0,27,2,1,1,0,0,0,0,0,1,0,1,0,0,1
2,4.0,3,5314.73,-1,3,4.0,2.0,30,1,1,1,0,0,0,0,0,1,0,1,0,0,1
-1,4.0,3,4017.5,1,2,4.0,1.0,43,1,2,1,0,1,0,0,0,1,0,1,0,1,0
-1,2.0,1,7272.36,1,4,2.0,2.0,31,2,1,1,0,0,0,0,0,0,0,1,0,0,1
-1,2.0,3,27165.94,1,5,2.0,4.0,42,1,1,2,0,0,0,0,0,1,0,1,1,0,0
2,4.0,1,5715.71,-1,5,4.0,4.0,36,2,1,1,0,0,0,0,0,1,0,1,0,0,1
1,2.0,3,14395.4,1,5,2.0,4.0,42,1,2,1,0,0,0,0,0,1,1,0,0,0,1
2,4.0,1,3262.75,1,3,4.0,2.0,33,1,1,1,0,1,0,0,0,1,0,1,0,0,1
1,4.0,1,3999.15,1,5,4.0,4.0,66,2,1,1,0,0,0,0,0,1,1,0,1,0,0
3,2.0,3,5545.34,1,3,2.0,2.0,41,1,1,2,0,1,0,0,0,1,0,1,0,0,1
1,2.0,3,6753.49,1,3,2.0,1.0,42,1,1,1,0,1,0,0,0,1,0,1,0,0,1
2,2.0,3,5550.61,1,3,2.0,2.0,37,1,2,1,0,1,0,0,0,1,0,1,0,1,0
1,1.0,1,11219.12,3,3,1.0,4.0,23,2,1,1,0,1,0,0,0,1,0,1,0,0,1
1,4.0,1,1810.87,1,5,4.0,3.0,35,2,1,1,0,0,0,0,0,1,0,1,0,0,1
1,4.0,4,1640.55,1,3,4.0,4.0,24,1,1,1,0,1,0,0,0,0,0,1,0,1,0
2,2.0,3,15372.9,2,3,2.0,2.0,30,2,1,2,0,0,0,0,0,1,0,1,0,0,1
2,4.0,3,3427.85,1,5,4.0,4.0,38,2,1,1,0,0,0,1,0,1,0,1,0,1,0
2,2.0,1,9570.73,1,4,2.0,3.0,27,2,1,1,0,0,1,0,0,1,0,1,0,0,1
-1,4.0,3,4119.7,4,5,4.0,4.0,36,1,1,1,0,0,1,0,0,0,0,1,0,1,0
3,3.0,4,1071.87,4,3,3.0,3.0,42,2,1,1,0,1,0,0,0,1,0,0,0,0,1
2,4.0,3,2007.44,3,3,4.0,3.0,66,1,1,1,0,1,0,0,0,1,0,1,0,1,0
2,2.0,3,9203.83,2,4,2.0,3.0,38,2,1,2,0,0,0,0,0,0,0,1,0,0,1
1,4.0,3,1174.07,1,2,4.0,4.0,23,1,1,1,1,0,0,0,0,1,0,1,0,0,1
-1,3.0,1,3226.05,1,5,3.0,4.0,32,2,2,1,0,0,0,0,0,1,0,1,0,1,0
2,1.0,2,16780.19,1,2,1.0,2.0,33,1,1,1,0,1,0,0,0,1,0,1,0,0,1
3,2.0,3,4929.49,1,3,2.0,2.0,44,1,1,2,0,1,0,0,0,1,0,0,0,1,0
1,4.0,1,5857.23,1,3,4.0,2.0,33,2,1,1,0,0,0,0,0,0,0,0,0,0,1
1,4.0,3,6391.83,1,2,4.0,4.0,35,1,1,2,0,1,0,0,0,1,0,1,0,0,1
1,1.0,3,9568.11,4,3,1.0,3.0,31,1,2,1,0,0,0,0,0,1,0,1,0,0,1
2,2.0,2,19476.87,1,3,2.0,2.0,54,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,3.0,1,4709.35,1,2,3.0,1.0,28,2,1,1,0,0,1,0,0,0,0,1,0,1,0
-1,3.0,3,4109.24,2,3,3.0,4.0,24,1,1,1,0,0,1,0,0,1,0,0,0,1,0
2,4.0,1,10162.99,2,2,4.0,2.0,37,1,1,2,0,0,0,0,0,1,0,1,0,0,1
1,2.0,3,24296.32,1,4,2.0,1.0,24,1,1,2,0,0,0,0,0,1,0,1,0,0,1
1,4.0,3,2363.88,1,4,4.0,4.0,21,1,1,1,1,0,0,0,0,1,0,0,0,0,1
1,4.0,3,20344.33,1,5,4.0,4.0,42,1,1,1,0,0,0,0,0,0,1,0,1,0,0
-1,3.0,4,20504.19,-1,2,3.0,4.0,40,2,2,2,0,0,0,0,0,0,0,0,0,0,1
1,1.0,1,8868.36,1,3,1.0,4.0,44,1,1,2,0,1,0,0,0,1,0,0,1,0,0
1,3.0,1,5561.07,1,3,3.0,2.0,39,2,2,1,0,0,0,0,0,1,0,0,0,1,0
1,3.0,1,21135.77,1,3,3.0,2.0,25,2,1,2,1,0,0,0,0,1,0,1,1,0,0
-1,1.0,3,13753.32,-1,3,1.0,3.0,26,1,1,1,0,0,0,0,0,1,0,1,0,0,1
1,4.0,5,2489.66,1,5,4.0,3.0,33,2,2,1,0,0,0,0,0,1,0,0,0,0,1
1,4.0,3,7767.69,-1,5,4.0,4.0,49,1,2,2,0,0,0,0,0,0,1,0,0,0,1
-1,3.0,3,19416.59,-1,5,3.0,2.0,37,2,1,1,0,0,1,0,0,1,0,1,0,0,1
2,4.0,3,6999.83,2,3,4.0,4.0,50,1,1,1,0,1,0,0,0,1,1,0,0,0,1
1,3.0,3,17710.54,1,3,3.0,2.0,31,1,1,2,0,1,0,0,0,1,0,1,0,0,1
3,3.0,3,3296.84,3,3,3.0,3.0,57,1,1,1,0,1,0,0,0,1,0,1,0,1,0
-1,1.0,3,5728.78,-1,4,1.0,4.0,33,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1,3.0,5,18656.62,1,3,3.0,4.0,53,2,2,1,0,1,0,0,0,1,1,0,0,0,1
2,4.0,3,3247.02,-1,3,4.0,4.0,61,1,1,1,1,0,0,0,0,1,1,0,0,0,1
-1,4.0,5,6847.85,1,3,4.0,2.0,27,2,1,1,0,0,0,1,0,1,0,1,0,0,1
1,2.0,1,5587.26,-1,2,2.0,3.0,27,2,1,1,0,1,0,0,0,1,0,0,0,0,1
3,3.0,3,3399.04,1,3,3.0,4.0,23,1,1,1,0,1,0,0,0,1,0,0,0,0,1
1,4.0,3,4835.13,1,2,4.0,1.0,46,1,1,1,0,1,0,0,0,1,0,0,0,0,1
2,4.0,1,4028.0,-1,5,4.0,4.0,50,2,1,2,0,1,0,0,0,1,0,1,0,0,1
2,4.0,2,6559.54,2,5,4.0,2.0,41,2,1,1,0,0,1,0,1,0,0,1,0,0,1
-1,4.0,1,3823.54,1,3,4.0,2.0,43,1,1,1,0,1,0,0,0,1,0,1,0,1,0
-1,1.0,1,4974.04,-1,3,1.0,2.0,34,2,2,1,0,1,0,0,0,1,0,1,0,1,0
2,4.0,1,7403.42,-1,4,4.0,3.0,34,2,2,2,0,0,1,0,0,1,0,1,0,0,1
2,3.0,3,14101.86,-1,1,3.0,4.0,40,1,1,2,0,0,0,0,0,0,1,0,0,0,0
2,4.0,3,36760.24,1,4,4.0,2.0,27,1,1,2,0,0,0,0,0,1,0,1,1,0,0
1,1.0,1,10393.59,1,5,1.0,4.0,33,3,1,2,0,0,0,0,0,0,0,0,0,0,1
1,4.0,3,10375.24,1,1,4.0,3.0,30,1,1,2,0,1,0,0,0,1,0,1,1,0,0
-1,3.0,1,4172.14,4,4,3.0,2.0,35,1,1,1,0,1,0,0,0,1,0,1,0,0,1
2,3.0,3,3695.15,3,5,3.0,2.0,35,1,1,2,0,0,1,0,0,1,0,1,0,0,1
-1,2.0,3,5188.95,1,2,2.0,2.0,19,2,1,1,0,1,0,0,0,1,0,0,0,0,1
1,1.0,1,10322.86,1,3,1.0,2.0,40,2,2,1,0,0,0,0,0,1,0,1,0,1,0
-1,3.0,1,5050.05,-1,3,3.0,2.0,33,2,1,2,1,0,0,0,0,1,0,1,0,0,1
1,4.0,3,3186.74,1,2,4.0,3.0,23,1,1,2,0,0,0,0,0,1,0,0,0,0,1
1,4.0,5,2835.58,1,3,4.0,4.0,48,2,1,1,0,0,0,0,0,0,0,1,0,0,1
1,1.0,3,6609.36,1,5,1.0,3.0,39,1,2,1,0,1,0,0,0,1,0,1,0,0,1
-1,3.0,3,7214.74,2,5,3.0,4.0,35,1,1,2,0,1,0,0,0,1,0,1,0,0,1
2,3.0,3,16405.46,1,4,3.0,3.0,28,1,1,1,0,0,0,0,0,1,0,0,0,1,0
-1,4.0,3,3307.29,3,4,4.0,3.0,36,2,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,3,5972.5,-1,3,4.0,4.0,37,1,1,2,0,1,0,0,0,1,1,0,0,0,1
2,1.0,2,6166.46,1,3,1.0,4.0,47,2,1,1,0,0,0,0,0,1,0,1,0,0,1
-1,4.0,1,6352.51,-1,5,4.0,4.0,53,2,1,1,0,1,0,0,0,1,0,1,0,0,1
2,1.0,3,26101.96,1,2,1.0,2.0,26,1,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,2.0,1,4337.23,1,5,2.0,4.0,63,2,1,2,0,1,0,0,0,1,0,1,0,1,0
-1,2.0,1,8462.16,-1,1,2.0,4.0,38,1,1,2,0,0,0,0,0,1,0,1,1,0,0
1,2.0,3,8145.09,1,2,2.0,4.0,31,1,1,1,0,1,0,0,0,1,0,1,0,1,0
-1,1.0,2,9418.7,1,2,1.0,2.0,46,2,1,1,0,0,0,0,0,1,0,1,0,1,0
-1,3.0,3,9319.11,-1,3,3.0,2.0,29,1,1,1,0,0,0,0,0,1,0,1,0,0,1
-1,4.0,3,1677.25,1,3,4.0,2.0,49,1,1,1,0,0,0,0,0,1,0,1,0,1,0
2,1.0,3,30295.01,1,3,1.0,4.0,23,2,1,1,0,0,0,0,0,1,0,0,1,0,0
-1,3.0,3,12039.37,1,2,3.0,2.0,32,1,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,3,1884.27,1,5,4.0,4.0,41,1,2,1,1,0,0,0,0,0,0,1,0,1,0
2,3.0,3,1268.43,1,4,3.0,3.0,28,1,1,1,0,1,0,0,0,0,0,1,0,1,0
-1,4.0,1,1787.3,2,4,4.0,3.0,51,2,1,2,0,0,0,0,0,1,0,1,0,0,1
2,4.0,2,6360.41,-1,5,4.0,2.0,42,2,1,1,0,0,1,0,0,1,0,1,0,0,1
1,2.0,3,20656.17,1,4,2.0,4.0,45,1,2,1,0,1,0,0,0,1,1,0,0,0,1
1,2.0,3,5073.63,-1,4,2.0,4.0,23,2,1,1,0,1,0,0,0,1,0,0,0,1,0
2,2.0,3,1795.14,1,4,2.0,3.0,25,1,1,1,0,0,0,0,0,0,0,1,0,1,0
2,4.0,1,12437.73,1,2,4.0,2.0,25,2,1,1,0,1,0,0,0,1,0,1,0,1,0
1,2.0,3,3676.8,1,3,2.0,4.0,28,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,4.0,4,3139.58,1,5,4.0,4.0,35,1,1,1,1,0,0,0,0,1,1,0,0,0,1
2,1.0,3,24629.12,1,2,1.0,4.0,28,1,1,2,0,0,0,0,0,1,0,0,1,0,0
-1,4.0,3,3944.1,1,3,4.0,2.0,32,1,1,2,0,1,0,0,0,1,1,0,1,0,0
-1,2.0,1,9342.74,-1,2,2.0,1.0,37,2,2,1,1,0,0,0,0,1,0,1,0,1,0
-1,2.0,5,10915.12,1,3,2.0,2.0,36,2,2,1,0,0,1,0,1,0,0,1,0,0,1
-1,4.0,1,9264.11,1,4,4.0,4.0,37,2,1,2,0,0,0,0,0,1,0,1,0,0,1
2,1.0,3,2576.13,4,2,1.0,4.0,19,1,1,1,0,1,0,0,0,1,0,0,0,1,0
-1,4.0,1,3650.61,1,2,4.0,4.0,35,2,1,1,0,0,0,0,0,1,0,1,1,0,0
-1,2.0,2,41021.46,1,4,2.0,4.0,21,2,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,1.0,1,4072.55,1,4,1.0,2.0,24,2,1,2,0,1,0,0,0,1,0,0,0,0,1
-1,4.0,2,33411.02,3,4,4.0,1.0,37,1,1,2,0,1,0,0,0,1,0,1,1,0,0
3,1.0,3,7660.26,2,3,1.0,1.0,28,1,1,2,0,0,0,0,0,0,0,1,1,0,0
-1,4.0,3,3244.4,-1,1,4.0,4.0,36,1,2,2,1,0,0,0,0,1,0,1,1,0,0
1,2.0,3,7369.33,-1,5,2.0,4.0,26,1,1,1,0,0,0,0,0,1,0,0,0,0,1
3,1.0,1,3519.54,1,5,1.0,4.0,46,2,2,1,0,0,0,0,0,1,0,1,0,0,1
2,2.0,3,5506.02,1,2,2.0,4.0,23,1,1,1,0,1,0,0,0,1,0,1,0,1,0
3,2.0,5,16481.42,1,2,2.0,1.0,33,2,1,1,0,0,1,0,0,1,0,1,0,0,1
-1,4.0,1,1619.59,1,5,4.0,4.0,56,1,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,3,3650.61,1,5,4.0,4.0,47,3,2,2,1,0,0,0,0,0,0,1,0,0,1
1,2.0,3,10883.7,1,3,2.0,3.0,42,1,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,1,3917.91,1,5,4.0,1.0,38,2,2,1,0,0,0,0,0,1,0,1,0,1,0
2,2.0,4,3765.93,2,4,2.0,3.0,29,1,1,1,0,0,0,0,0,1,0,1,0,0,1
1,4.0,3,3367.57,-1,4,4.0,4.0,32,1,1,1,0,0,0,0,0,1,0,0,0,0,1
3,3.0,3,7579.02,1,5,3.0,4.0,51,1,1,1,0,1,0,0,0,1,1,0,0,0,1
2,4.0,5,9969.04,1,3,4.0,1.0,42,1,1,2,0,1,0,0,0,1,0,1,0,0,1
3,4.0,1,2460.8,3,4,4.0,2.0,28,3,1,2,0,0,0,0,0,1,0,1,0,0,1
1,1.0,3,20234.23,-1,2,1.0,2.0,30,1,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,3.0,3,4185.21,3,3,3.0,2.0,40,1,2,1,0,0,0,0,0,1,0,0,0,1,0
-1,4.0,1,14966.7,4,5,4.0,2.0,38,2,1,2,0,0,0,0,0,1,0,1,1,0,0
-1,1.0,1,6108.79,-1,5,1.0,4.0,49,1,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,2.0,1,3938.87,1,4,2.0,1.0,42,2,2,1,0,1,0,0,0,1,0,1,0,1,0
2,4.0,2,7500.39,2,5,4.0,3.0,30,1,1,1,0,0,0,0,0,1,1,0,0,0,1
3,2.0,1,3467.16,2,5,2.0,4.0,28,2,2,2,0,0,0,0,0,1,0,1,0,0,1
1,4.0,3,6480.91,1,1,4.0,1.0,25,1,1,1,0,1,0,0,0,1,0,1,0,0,0
-1,3.0,3,4179.98,1,4,3.0,2.0,51,1,2,1,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,1,10136.8,1,5,4.0,2.0,41,2,1,2,0,0,0,0,0,1,0,0,1,0,0
2,1.0,3,8420.23,3,2,1.0,3.0,25,1,1,1,0,1,0,0,0,1,0,0,0,0,1
2,2.0,2,12503.23,1,4,2.0,4.0,51,1,1,1,0,1,0,0,0,1,0,1,0,0,1
2,4.0,1,4945.23,-1,3,4.0,4.0,28,2,1,1,0,0,1,0,0,0,0,1,0,0,1
2,1.0,3,11633.16,1,5,1.0,1.0,33,1,1,2,0,0,1,0,0,0,0,1,1,0,0
2,1.0,3,28725.25,4,4,1.0,2.0,27,2,1,2,0,1,0,0,0,0,0,1,0,0,1
1,4.0,2,3493.35,1,1,4.0,2.0,43,2,2,1,0,0,0,0,0,1,1,0,0,0,1
-1,4.0,1,4850.87,1,4,4.0,2.0,33,2,1,2,0,1,0,0,0,1,0,1,0,0,1
1,4.0,3,4869.22,1,2,4.0,1.0,22,1,1,1,0,1,0,0,0,1,0,0,0,0,1
1,4.0,1,1008.97,1,4,4.0,3.0,58,4,1,2,0,1,0,0,0,1,0,1,0,1,0
-1,4.0,3,3178.9,3,5,4.0,3.0,47,1,1,2,0,1,0,0,1,0,0,1,0,0,1
-1,4.0,1,4153.79,1,4,4.0,3.0,40,2,1,1,0,1,0,0,0,1,0,1,0,0,1
-1,2.0,3,26584.13,2,4,2.0,4.0,21,1,1,2,0,1,0,0,0,1,0,1,0,0,1
1,2.0,4,20139.92,1,4,2.0,4.0,37,1,1,1,0,0,1,0,0,1,0,0,0,0,1
-1,4.0,3,9845.87,1,5,4.0,4.0,62,1,1,2,0,0,0,0,0,1,1,0,0,0,1
-1,1.0,3,7290.7,3,4,1.0,2.0,31,1,1,1,0,0,0,0,0,0,0,1,1,0,0
1,4.0,3,4932.11,1,3,4.0,4.0,25,2,1,1,0,1,0,0,0,0,0,0,0,0,1
1,1.0,1,12359.1,-1,2,1.0,3.0,44,2,2,1,0,0,0,0,0,1,0,1,0,1,0
3,4.0,1,12568.79,1,5,4.0,4.0,56,1,1,1,0,0,0,0,0,1,1,0,0,0,1
2,3.0,1,15199.92,1,3,3.0,4.0,34,2,1,2,0,0,0,0,0,1,0,1,0,0,1
-1,4.0,3,3637.48,1,3,4.0,2.0,26,1,1,1,0,1,0,0,0,1,0,0,0,0,1
-1,4.0,1,5071.01,1,5,4.0,4.0,43,3,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,4.0,1,5996.13,1,2,4.0,4.0,23,1,1,2,0,1,0,0,0,1,0,1,0,0,1
-1,3.0,3,6735.14,1,3,3.0,3.0,21,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,1.0,3,3600.84,1,3,1.0,2.0,36,1,1,2,0,1,0,0,0,0,0,1,0,1,0
2,2.0,5,21798.82,1,5,2.0,4.0,42,2,1,2,0,0,1,0,0,1,1,0,1,0,0
1,4.0,3,18800.75,-1,4,4.0,3.0,30,1,1,2,0,1,0,0,0,1,0,1,1,0,0
3,3.0,1,3330.87,-1,3,3.0,4.0,39,2,1,2,0,1,0,0,0,1,1,0,0,0,1
-1,2.0,1,15202.53,-1,5,2.0,4.0,49,1,1,2,0,1,0,0,0,1,0,0,0,0,1
2,4.0,3,2327.18,1,5,4.0,4.0,41,1,2,1,0,0,0,0,0,0,0,1,0,1,0
2,4.0,3,5154.87,1,5,4.0,4.0,20,1,1,2,0,1,0,0,0,1,0,1,0,0,1
1,3.0,3,7662.87,1,3,3.0,4.0,63,1,2,2,0,0,0,0,0,0,0,1,0,0,1
-1,1.0,3,13952.5,3,5,1.0,4.0,35,1,1,1,0,0,0,0,0,1,1,0,0,0,1
2,4.0,1,11135.26,1,1,4.0,2.0,28,2,1,1,0,0,0,0,0,1,0,1,1,0,0
2,4.0,1,7149.19,-1,4,4.0,2.0,35,3,1,2,0,1,0,0,0,0,0,1,0,0,1
1,2.0,1,10233.72,1,3,2.0,2.0,36,2,2,1,0,0,0,0,0,1,0,0,0,0,1
-1,4.0,3,2618.05,-1,5,4.0,2.0,25,2,1,1,0,1,0,0,0,1,0,1,0,0,1
2,3.0,3,17191.62,2,4,3.0,2.0,24,1,1,1,0,0,0,0,0,1,0,1,0,0,1
